CONCEPT,RANK,PARENT,LOCK
molecular biology,0,,1
chromosome,1,molecular biology,0
gene,1,molecular biology,0
DNA polymerase,1,molecular biology,0
helicase,1,molecular biology,0
primase,1,molecular biology,0
ligase,1,molecular biology,0
messenger RNA,1,molecular biology,0
transfer RNA,1,molecular biology,0
ribosomal RNA,1,molecular biology,0
anticodon,1,molecular biology,0
amino acids,1,molecular biology,0
polypeptide chain,1,molecular biology,0
central dogma of molecular biology.,1,molecular biology,0
transcription factors,1,molecular biology,0
inducible,1,molecular biology,0
repressible,1,molecular biology,0
transcriptional insulator,1,molecular biology,0
Protein folding accuracy,1,molecular biology,0
Protein folding regulation,1,molecular biology,0
Cell surface receptor,1,molecular biology,0
Intracellular receptor,1,molecular biology,0
Synaptic signaling,1,molecular biology,0
Gap junction,1,molecular biology,0
Hormone,1,molecular biology,0
Neurotransmitter,1,molecular biology,0
Cytokine,1,molecular biology,0
G protein-coupled receptor,1,molecular biology,0
Signal transduction complex,1,molecular biology,0
Signal transduction network,1,molecular biology,0
Signal transduction feedback,1,molecular biology,0
Signal transduction regulation,1,molecular biology,0
Signal transduction dysfunction,1,molecular biology,0
enzyme deficiency,1,molecular biology,0
biological processes.,1,molecular biology,0
Molecular cloning,1,molecular biology,0
ligation,1,molecular biology,0
transfection,1,molecular biology,0
expression vector,1,molecular biology,0
protein production,1,molecular biology,0
genome editing,1,molecular biology,0
recombinant technology,1,molecular biology,0
gene manipulation,1,molecular biology,0
gene knockdown,1,molecular biology,0
gene structure,1,molecular biology,0
gene sequence,1,molecular biology,0
gene library,1,molecular biology,0
gene bank,1,molecular biology,0
gene isolation,1,molecular biology,0
gene identification,1,molecular biology,0
gene mapping,1,molecular biology,0
gene sequencing,1,molecular biology,0
gene analysis,1,molecular biology,0
gene mutation analysis,1,molecular biology,0
gene function analysis,1,molecular biology,0
gene knockout analysis,1,molecular biology,0
gene therapy development,1,molecular biology,0
gene therapy clinical trials,1,molecular biology,0
gene therapy treatment,1,molecular biology,0
gene therapy delivery,1,molecular biology,0
gene therapy efficacy,1,molecular biology,0
gene therapy future prospects.,1,molecular biology,0
